,song,artist
1966,Dancing On My Own,Calum Scott
1967,No Favors,Big Sean Featuring Eminem
1968,Zoom,Future
1969,Roots,Imagine Dragons
1970,Losers,The Weeknd Featuring Labrinth
1971,Jet Black Heart,5 Seconds Of Summer
1972,2 On,Tinashe Featuring ScHoolboy Q
1973,Problem,Ariana Grande Featuring Iggy Azalea
1974,Dark Horse,Katy Perry Featuring Juicy J
1975,Ready Set Roll,Chase Rice
1976,Shower,Becky G
1977,V. 3005,Childish Gambino
1978,Studio,ScHoolboy Q Featuring BJ The Chicago Kid
1979,EW!,Jimmy Fallon Featuring will.i.am
1980,I'm Not Gonna Miss You,Glen Campbell
1981,Bo$$,Fifth Harmony
1982,Nuketown,Ski Mask The Slump God Featuring Juice WRLD
1983,Butterfly Doors,Lil Pump
1984,Valuable Pain,YoungBoy Never Broke Again
1985,Can't Leave Without It,21 Savage
1986,Good Form,Nicki Minaj Featuring Lil Wayne
1987,idontwannabeyouanymore,Billie Eilish
1988,I Might Need Security,Chance The Rapper
1989,Emotionless,Drake
1990,Can't Take A Joke,Drake
1991,Supastars,Migos
1992,White Sand,"Migos Featuring Travis Scott, Ty Dolla $ign & Big Sean"
1993,Gang Gang,Migos
1994,Higher We Go (Intro),Migos
1995,Auto Pilot,Migos
1996,Emoji A Chain,Migos
1997,CC,Migos Featuring Gucci Mane
1998,Best Friend,"Sofi Tukker Featuring NERVO, The Knocks & Alisa Ueno"
1999,Rise,Katy Perry
2000,Make Me...,Britney Spears Featuring G-Eazy
2001,Straight Outta Compton,N.W.A
2002,Boyz-N-The Hood,Eazy-E
2003,High By The Beach,Lana Del Rey
2004,I'm To Blame,Kip Moore
2005,4:44,JAY-Z
2006,A Lie,French Montana Featuring The Weeknd & Max B
2007,Jerika,Jake Paul & Erika Costell Featuring Uncle Kade
2008,Woman,Kesha Featuring The Dap-Kings Horns
2009,Bills,LunchMoney Lewis
2010,Imagine,Sawyer Fredericks
2011,House Of The Rising Sun,Kimberly Nichole
2012,Elevate,Drake
2013,Fr Fr,Wiz Khalifa Featuring Lil Skies
2014,Blue Tint,Drake
2015,After Dark,Drake Featuring Static Major & Ty Dolla $ign
2016,8 Out Of 10,Drake
2017,31 Days,Future
2018,Talk Up,Drake Featuring JAY-Z
2019,Monster,21 Savage
2020,Demons And Angels,A Boogie Wit da Hoodie Featuring Juice WRLD
2021,Bom Bidi Bom,Nick Jonas & Nicki Minaj
2022,Helium,Sia
2023,Heroe Favorito,Romeo Santos
2024,Way Down We Go,Kaleo
2025,Everything 1K,Kodak Black
2026,Some Kind Of Drug,G-Eazy Featuring Marc E. Bassy
2027,The Days,Avicii
2028,Believe Me,Lil Wayne Featuring Drake
2029,24 Hours,TeeFLii Featuring 2 Chainz
2030,Errrbody,Yo Gotti
2031,Later On,The Swon Brothers
2032,No Name,NF
2033,Ice Tray,Quavo & Lil Yachty
2034,The Greatest Show,"Hugh Jackman, Keala Settle, Zac Efron, Zendaya & The Greatest Showman Ensemble"
2035,Never Enough,Loren Allred
2036,My Dawg,Lil Baby
2037,Untitled 02 l 06.23.2014.,Kendrick Lamar
2038,Untitled 07 l Levitate,Kendrick Lamar
2039,Gotta Lotta,2 Chainz Featuring Lil Wayne
2040,Bam,"JAY-Z Featuring Damian ""Jr. Gong"" Marely"
2041,Family Feud,JAY-Z Featuring Beyonce
2042,Kill Jay Z,JAY-Z
2043,Smile,JAY-Z Featuring Gloria Carter
2044,Caught Their Eyes,JAY-Z Featuring Frank Ocean
2045,Moonlight,JAY-Z
2046,Marcy Me,JAY-Z
2047,Get Low,Zedd & Liam Payne
2048,Famous,21 Savage
2049,Fly Away,5 Seconds Of Summer
2050,Go Hard Or Go Home,Wiz Khalifa & Iggy Azalea
2051,Good Lovin,Ludacris Featuring Miguel
2052,Goodbye,Who Is Fancy
2053,Bad Romance,Lady Gaga
2054,Sacrifices,Big Sean Featuring Migos
2055,Halfway Off The Balcony,Big Sean
2056,Jump Out The Window,Big Sean
2057,Owe Me,Big Sean
2058,Beauty And The Beast,Ariana Grande & John Legend
2059,I Don't,Mariah Carey Featuring YG
2060,Now & Later,Sage The Gemini
2061,Light,Big Sean Featuring Jeremih
2062,Kelly Price,Migos Featuring Travis Scott
2063,Solo de Mi,Bad Bunny
2064,whoa (mind in awe),XXXTENTACION
2065,All My Friends,21 Savage
2066,My My My!,Troye Sivan
2067,El Bano,Enrique Iglesias Featuring Bad Bunny
2068,Wifi Lit,Future
2069,Sandra's Rose,Drake
2070,Summer Games,Drake
2071,Jaded,Drake
2072,That's How You Feel,Drake
2073,Survival,Drake
2074,Cuddle My Wrist,Future
2075,Millidelphia,Meek Mill Featuring Swizz Beatz
2076,Racks Blue,Future
2077,Finesse,Drake
2078,Drug Addicts,Lil Pump
2079,Peak,Drake
2080,Legends,Juice WRLD
2081,Kream,Iggy Azalea Feauring Tyga
2082,Is There More,Drake
2083,Who Dat Boy,"Tyler, The Creator"
2084,Extra Luv,Future Featuring YG
2085,Call Casting,Migos
2086,Run Up,Major Lazer Featuring PARTYNEXTDOOR & Nicki Minaj
2087,I'm Better,Missy Elliott Featuring Lamb
2088,Get Right Witcha,Migos
2089,If The Boot Fits,Granger Smith
2090,Culture,Migos Featuring DJ Khaled
2091,Counting Stars,OneRepublic
2092,Somethin' Bad,Miranda Lambert Duet With Carrie Underwood
2093,Bartender,Lady Antebellum
2094,Bumpin' The Night,Florida Georgia Line
2095,Really Don't Care,Demi Lovato Featuring Cher Lloyd
2096,Walk Thru,Rich Homie Quan Featuring Problem
2097,Meanwhile Back At Mama's,Tim McGraw Featuring Faith Hill
2098,I Miss You,Clean Bandit Featuring Julia Michaels
2099,Don't Quit,DJ Khaled & Calvin Harris Featuring Travis Scott & Jeremih
2100,On Everything,"DJ Khaled Featuring Travis Scott, Rick Ross & Big Sean"
2101,It's You,Zayn
2102,Hello Friday,Flo Rida Featuring Jason Derulo
2103,Til It Happens To You,Lady Gaga
2104,Walking On A Dream,Empire Of The Sun
2105,If Only,Dove Cameron
2106,100 Grandkids,Mac Miller
2107,Water,Ugly God
2108,Running Back,Wale Featuring Lil Wayne
2109,Drunk On A Plane,Dierks Bentley
2110,Angel In Blue Jeans,Train
2111,Bend Ova,Lil Jon Featuring Tyga
2112,Left Hand Free,alt-J
2113,Main Chick,Kid Ink Featuring Chris Brown
2114,Rudolph The Red-Nosed Reindeer,Gene Autry
2115,"Let It Snow, Let It Snow, Let It Snow",Dean Martin
2116,Sleigh Ride,The Ronettes
2117,Here Comes Santa Claus (Down Santa Claus Lane),Gene Autry
2118,(There's No Place Like) Home For The Holidays,Perry Como
2119,White Christmas,Bing Crosby
2120,It's Beginning To Look A Lot Like Christmas,Perry Como And The Fontane Sisters With Mitchell Ayres And His Orchestra
2121,Blue Christmas,Elvis Presley
2122,Happy Xmas (War Is Over),John & Yoko/The Plastic Ono Band With The Harlem Community Choir
2123,Christmas (Baby Please Come Home),Darlene Love
2124,Underneath The Tree,Kelly Clarkson
2125,Run Rudolph Run,Chuck Berry
2126,Jingle Bells,Frank Sinatra
2127,Cozy Little Christmas,Katy Perry
2128,The Christmas Song,Lauren Daigle
2129,Break Da Law,21 Savage
2130,1.5,21 Savage
2131,Out For The Night,21 Savage
2132,Gun Smoke,21 Savage
2133,ASMR,21 Savage
2134,Wyclef Jean,Young Thug
2135,Duele El Corazon,Enrique Iglesias Feat. Wisin or Tinashe & Javada
2136,First Day Out,Kodak Black
2137,Real Hitta,Plies Featuring Kodak Black
2138,Ratchet Happy Birthday,Drake
2139,Final Fantasy,Drake
2140,March 14,Drake
2141,Not Afraid Anymore,Halsey
2142,Timeless,A Boogie Wit da Hoodie Featuring DJ SPINKING
2143,Beibs In The Trap,Travis Scott
2144,Wonderful Christmastime,Paul McCartney
2145,MoshPit,Kodak Black Featuring Juice WRLD
2146,Testimony,Kodak Black
2147,Gnarly,Kodak Black Featuring Lil Pump
2148,Uptown Vibes,Meek Mill Featuring Fabolous & Anuel AA
2149,Look At My Dab,Migos
2150,Loyal,Chris Brown Featuring Lil Wayne & French Montana Or Too $hort Or Tyga
2151,"Where It's At (Yep, Yep)",Dustin Lynch
2152,Wiggle,Jason Derulo Featuring Snoop Dogg
2153,Love Runs Out,OneRepublic
2154,Pills N Potions,Nicki Minaj
2155,Dust,Eli Young Band
2156,X,Chris Brown
2157,Foreign,Trey Songz
2158,Failure,Breaking Benjamin
2159,Baby Blue,Action Bronson Featuring Chance The Rapper
2160,Nikes,Frank Ocean
2161,Ivy,Frank Ocean
2162,Pink + White,Frank Ocean
2163,Solo,Frank Ocean
2164,Nights,Frank Ocean
2165,Charged Up,Drake
2166,Guardian Angel,XXXTENTACION
2167,I Don't Let Go,XXXTENTACION
2168,What's Free,Meek Mill Featuring Rick Ross & JAY-Z
2169,One Minute,XXXTENTACION Featuring Kanye West & Travis Barker
2170,Train Food,XXXTENTACION
2171,What Are You So Afraid Of,XXXTENTACION
2172,Staring At The Sky,XXXTENTACION
2173,On Me,Meek Mill Featuring Cardi B
2174,Difference (Interlude),XXXTENTACION
2175,Summer,Calvin Harris
2176,Turn Down For What,DJ Snake & Lil Jon
2177,Classic,MKTO
2178,I Don't Dance,Lee Brice
2179,Pompeii,Bastille
2180,Ain't It Fun,Paramore
2181,Talk Dirty,Jason Derulo Featuring 2 Chainz
2182,Come With Me Now,KONGOS
2183,It Was Always You,Maroon 5
2184,This Is How We Roll,Florida Georgia Line Ft. Jason Derulo & Luke Bryan
2185,Come Get It Bae,Pharrell Williams
2186,Na Na,Trey Songz
2187,We Dem Boyz,Wiz Khalifa
2188,Yeah,Joe Nichols
2189,Or Nah,Ty Dolla $ign Featuring Wiz Khalifa & DJ Mustard
2190,River Bank,Brad Paisley
2191,Girls Chase Boys,Ingrid Michaelson
2192,Me And My Broken Heart,Rixton
2193,We Are Tonight,Billy Currington
2194,Wasted,Tiesto Featuring Matthew Koma
2195,Beachin',Jake Owen
2196,Sing,Ed Sheeran
2197,I'm Ready,AJR
2198,Love Never Felt So Good,Michael Jackson & Justin Timberlake
2199,Who I Am With You,Chris Young
2200,Chasing The Sun,Hilary Duff
2201,Cut Her Off,KCamp Featuring 2 Chainz
2202,She Looks So Perfect,5 Seconds Of Summer
2203,Good Kisser,Usher
2204,Work,Iggy Azalea
2205,Song About A Girl,Eric Paslay
2206,My Eyes,Blake Shelton Featuring Gwen Sebastian
2207,Birthday,Katy Perry
2208,I Will Never Let You Down,Rita Ora
2209,Drinkin' Too Much,Sam Hunt
2210,Eye 2 Eye,Huncho Jack Featuring Takeoff
2211,Modern Slavery,Huncho Jack
2212,Thunder/Young Dumb & Broke (Medley),Imagine Dragons + Khalid
2213,Black & Chinese,Huncho Jack
2214,Dubai Shit,Huncho Jack Featuring Offset
2215,Huncho Jack,Huncho Jack
2216,Motorcycle Patches,Huncho Jack
2217,Saint,Huncho Jack
2218,Bigger > You,"2 Chainz, Drake & Quavo"
2219,Hope,XXXTENTACION
2220,I Know You,Lil Skies Featuring Yung Pinch
2221,Born To Be Yours,Kygo & Imagine Dragons
2222,Boss,The Carters
2223,Two Night Town,Jason Aldean
2224,Seen It All,Jeezy Featuring Jay Z
2225,Cold One,Eric Church
2226,Sweet Little Somethin',Jason Aldean
2227,All I Ask,Adele
2228,Bang My Head,David Guetta Featuring Sia & Fetty Wap
2229,Intro,Meek Mill
2230,Respect The Game,Meek Mill
2231,Trauma,Meek Mill
2232,Time,Lil Baby Featuring Meek Mill
2233,Ready,Lil Baby Featuring Gunna
2234,Championships,Meek Mill
2235,Tic Tac Toe,Meek Mill Featuring Kodak Black
2236,Almost Slipped,Meek Mill
2237,Splash Warning,"Meek Mill Featuring Future, Roddy Ricch & Young Thug"
2238,Pay You Back,Meek Mill Featuring 21 Savage
2239,Foot Fungus,Ski Mask The Slump God
2240,Crush A Lot,Lil Baby
2241,Oodles O' Noodles Babies,Meek Mill
2242,Global,Lil Baby
2243,Word On The Street,Lil Baby
2244,Shaky Shaky,Daddy Yankee
2245,Fire N Gold,Bea Miller
2246,Hit Or Miss,Jacob Sartorius
2247,Castaway,Zac Brown Band
2248,No Money,Galantis
2249,The Blacker The Berry,Kendrick Lamar
2250,Fairly Local,twenty one pilots
2251,You're So Beautiful,Empire Cast Featuring Jussie Smollett & Yazz
2252,Wesley's Theory,Kendrick Lamar Featuring George Clinton & Thundercat
2253,These Walls,"Kendrick Lamar Featuring Bilal, Anna Wise & Thundercat"
2254,Institutionalized,"Kendrick Lamar Featuring Bilal, Anna Wise & Snoop Dogg"
2255,Go Legend,Big Sean & Metro Boomin Featuring Travis Scott
2256,Danger,Migos & Marshmello
2257,Untouchable,Eminem
2258,Not A Bad Thing,Justin Timberlake
2259,Play It Again,Luke Bryan
2260,Who Do You Love?,YG Featuring Drake
2261,Tennis Court,Lorde
2262,Word Crimes,"""Weird Al"" Yankovic"
2263,Happy Little Pill,Troye Sivan
2264,Dare (La La La),Shakira
2265,Whiskey In My Water,Tyler Farr
2266,DDU-DU DDU-DU,BLACKPINK
2267,Summer,The Carters
2268,Reborn,KIDS SEE GHOSTS
2269,Nice,The Carters
2270,Cop Shot The Kid,Nas Featuring Kanye West
2271,Friends,The Carters
2272,Careless Whisper,Wham! Featuring George Michael
2273,Faith,George Michael
2274,No Flockin,Kodak Black
2275,Hate U Love U,Olivia O'Brien
2276,Say Something,A Great Big World & Christina Aguilera
2277,Let Her Go,Passenger
2278,Timber,Pitbull Featuring Ke$ha
2279,Drunk In Love,Beyonce Featuring Jay Z
2280,Team,Lorde
2281,The Monster,Eminem Featuring Rihanna
2282,Royals,Lorde
2283,Story Of My Life,One Direction
2284,Burn,Ellie Goulding
2285,Demons,Imagine Dragons
2286,The Man,Aloe Blacc
2287,Let It Go,Idina Menzel
2288,Show Me,Kid Ink Featuring Chris Brown
2289,Can't Remember To Forget You,Shakira Featuring Rihanna
2290,Roar,Katy Perry
2291,Radioactive,Imagine Dragons
2292,Adore You,Miley Cyrus
2293,My Hitta,YG Featuring Jeezy & Rich Homie Quan
2294,Best Day Of My Life,American Authors
2295,Wrecking Ball,Miley Cyrus
2296,Brave,Sara Bareilles
2297,"Hold On, We're Going Home",Drake Featuring Majid Jordan
2298,Hey Brother,Avicii
2299,Love Me Again,John Newman
2300,Drink A Beer,Luke Bryan
2301,Young Girls,Bruno Mars
2302,Sweater Weather,The Neighbourhood
2303,Whatever She's Got,David Nail
2304,Stay The Night,Zedd Featuring Hayley Williams
2305,Chillin' It,Cole Swindell
2306,Blurred Lines,Robin Thicke Featuring T.I. + Pharrell
2307,When She Says Baby,Jason Aldean
2308,Sail,AWOLNATION
2309,Paranoid,Ty Dolla $ign Featuring B.o.B
2310,Safe And Sound,Capital Cities
2311,White Walls,Macklemore & Ryan Lewis Featuring ScHoolboy Q & Hollis
2312,Animals,Martin Garrix
2313,Neon Lights,Demi Lovato
2314,23,"Mike WiLL Made-It Featuring Miley Cyrus, Wiz Khalifa & Juicy J"
2315,Bottoms Up,Brantley Gilbert
2316,Friday Night,Eric Paslay
2317,Do What U Want,Lady Gaga Featuring R. Kelly
2318,It Won't Stop,Sevyn Streeter Featuring Chris Brown
2319,Give Me Back My Hometown,Eric Church
2320,Compass,Lady Antebellum
2321,All Me,Drake Featuring 2 Chainz & Big Sean
2322,Doin' What She Likes,Blake Shelton
2323,Let It Go,Demi Lovato
2324,Do You Want To Build A Snowman?,"Kristen Bell, Agatha Lee Monn & Katie Lopez"
2325,Rap God,Eminem
2326,I Hold On,Dierks Bentley
2327,Love Don't Die,The Fray
2328,Helluva Life,Frankie Ballard
2329,See You Tonight,Scotty McCreery
2330,Stay,Florida Georgia Line
2331,XO,Beyonce
2332,Up Down (Do This All Day),T-Pain Featuring B.o.B
2333,Take Me Home,Cash Cash Featuring Bebe Rexha
2334,Unconditionally,Katy Perry
2335,For The First Time In Forever,Kristen Bell & Idina Menzel
2336,Drink To That All Night,Jerrod Niemann
2337,The Language,Drake
2338,19 You + Me,Dan + Shay
2339,Cop Car,Keith Urban
2340,Goodnight Kiss,Randy Houser
2341,Get Me Some Of That,Thomas Rhett
2342,Do I Wanna Know?,Arctic Monkeys
2343,Everything I Shouldn't Be Thinking About,Thompson Square
2344,Waiting For Superman,Daughtry
2345,Rewind,Rascal Flatts
2346,The Heart Of Dixie,Danielle Bradbery
2347,Ride,SoMo
2348,Odio,Romeo Santos Featuring Drake
2349,Confident,Justin Bieber Featuring Chance The Rapper
2350,They Don't Know,Rico Love
2351,Thinking About You,Calvin Harris Featuring Ayah Marar
2352,The Worst,Jhene Aiko
2353,Partition,Beyonce
2354,Invisible,Hunter Hayes
2355,Human,Christina Perri
2356,Chocolate,The 1975
2357,Midnight Memories,One Direction
2358,On Top Of The World,Imagine Dragons
2359,Oceans (Where Feet May Fail),Hillsong UNITED
2360,Worst Behavior,Drake
2361,Sweet Annie,Zac Brown Band
2362,Beat Of The Music,Brett Eldredge
2363,She Knows,J. Cole Featuring Amber Coffman & The Cults
2364,Up All Night,Jon Pardi
2365,Can't Raise A Man,K. Michelle
2366,Delirious (Boneless),"Steve Aoki, Chris Lake & Tujamo Featuring Kid Ink"
2367,She Came To Give It To You,Usher Featuring Nicki Minaj
2368,Fly S**t Only,Future
2369,Bake Sale,Wiz Khalifa Featuring Travi$ Scott
2370,Die A Happy Man,Nelly
2371,Whisper,Chase Rice
2372,4th Dimension,KIDS SEE GHOSTS Featuring Louis Prima
2373,Feel The Love,KIDS SEE GHOSTS
2374,"Freeee (Ghost Town, Pt. 2)",KIDS SEE GHOSTS
2375,Fire,KIDS SEE GHOSTS
2376,Cudi Montage,KIDS SEE GHOSTS
2377,KIDS SEE GHOSTS,KIDS SEE GHOSTS
2378,Blow A Bag,Future
2379,Dance Like We're Making Love,Ciara
2380,Bohemian Rhapsody,Panic! At The Disco
2381,Conqueror,Empire Cast Featuring Estelle & Jussie Smollett
2382,Everything I Didn't Say,5 Seconds Of Summer
2383,Trophies,Young Money Featuring Drake
2384,You & I (Nobody In The World),John Legend
2385,She Twerkin,Ca$h Out
2386,Harlem Shake,Baauer
2387,Thrift Shop,Macklemore & Ryan Lewis Featuring Wanz
2388,When I Was Your Man,Bruno Mars
2389,I Knew You Were Trouble.,Taylor Swift
2390,Scream & Shout,will.i.am & Britney Spears
2391,Started From The Bottom,Drake
2392,Stay,Rihanna Featuring Mikky Ekko
2393,Suit & Tie,Justin Timberlake Featuring JAY Z
2394,Locked Out Of Heaven,Bruno Mars
2395,Love Me,Lil Wayne Featuring Drake & Future
2396,Ho Hey,The Lumineers
2397,Don't You Worry Child,Swedish House Mafia Featuring John Martin
2398,One Way Or Another (Teenage Kicks),One Direction
2399,Daylight,Maroon 5
2400,F**kin Problems,"A$AP Rocky Featuring Drake, 2 Chainz & Kendrick Lamar"
2401,Girl On Fire,Alicia Keys Featuring Nicki Minaj
2402,Sweet Nothing,Calvin Harris Featuring Florence Welch
2403,Beauty And A Beat,Justin Bieber Featuring Nicki Minaj
2404,I Will Wait,Mumford & Sons
2405,Try,P!nk
2406,Pour It Up,Rihanna
2407,It's Time,Imagine Dragons
2408,Catch My Breath,Kelly Clarkson
2409,Diamonds,Rihanna
2410,Little Talks,Of Monsters And Men
2411,Gangnam Style,PSY
2412,Feel This Moment,Pitbull Featuring Christina Aguilera
2413,Home,Phillip Phillips
2414,Carry On,fun.
2415,Hall Of Fame,The Script Featuring will.i.am
2416,Sure Be Cool If You Did,Blake Shelton
2417,One More Night,Maroon 5
2418,Poetic Justice,Kendrick Lamar Featuring Drake
2419,C'mon,Ke$ha
2420,Wanted,Hunter Hayes
2421,Troublemaker,Olly Murs Featuring Flo Rida
2422,Some Nights,fun.
2423,Better Dig Two,The Band Perry
2424,Adorn,Miguel
2425,All Gold Everything,Trinidad James
2426,Hey Porsche,Nelly
2427,Swimming Pools (Drank),Kendrick Lamar
2428,One Of Those Nights,Tim McGraw
2429,The A Team,Ed Sheeran
2430,Kiss You,One Direction
2431,Two Black Cadillacs,Carrie Underwood
2432,I'm Different,2 Chainz
2433,Die Young,Ke$ha
2434,Tornado,Little Big Town
2435,Neva End,Future
2436,Downtown,Lady Antebellum
2437,Wicked Games,The Weeknd
2438,Loveeeeeee Song,Rihanna Featuring Future
2439,My Songs Know What You Did In The Dark (Light Em Up),Fall Out Boy
2440,Somebody's Heartbreak,Hunter Hayes
2441,I Drive Your Truck,Lee Brice
2442,R.I.P.,Young Jeezy Featuring 2 Chainz
2443,Mama's Broken Heart,Miranda Lambert
2444,Skyfall,Adele
2445,Bugatti,Ace Hood Featuring Future & Rick Ross
2446,Merry Go 'round,Kacey Musgraves
2447,Get Your Shine On,Florida Georgia Line
2448,Don't Stop The Party,Pitbull Featuring TJR
2449,The Only Way I Know,Jason Aldean With Luke Bryan & Eric Church
2450,Tip It On Back,Dierks Bentley
2451,Pirate Flag,Kenny Chesney
2452,Who Booty,Jonn Hart Featuring IamSU!
2453,Bad,Wale Featuring Tiara Thomas Or Rihanna
2454,Give It All We Got Tonight,George Strait
2455,Just Give Me A Reason,P!nk Featuring Nate Ruess
2456,If I Didn't Have You,Thompson Square
2457,I Love It,Icona Pop Featuring Charli XCX
2458,Don't Judge Me,Chris Brown
2459,Mirrors,Justin Timberlake
2460,Battle Scars,Lupe Fiasco & Guy Sebastian
2461,Remember You,Wiz Khalifa Featuring The Weeknd
2462,Alive,Krewella
2463,Ball,T.I. Featuring Lil Wayne
2464,Love And War,Tamar Braxton
2465,Little Things,One Direction
2466,Love Sosa,Chief Keef
2467,Stubborn Love,The Lumineers
2468,Cups (Pitch Perfect's When I'm Gone),Anna Kendrick
2469,Dope,Tyga Featuring Rick Ross
2470,Wagon Wheel,Darius Rucker
2471,As Your Friend,Afrojack Featuring Chris Brown
2472,Next To Me,Emeli Sande
2473,Va Va Voom,Nicki Minaj
2474,Power Trip,J. Cole Featuring Miguel
2475,Can't Hold Us,Macklemore & Ryan Lewis Featuring Ray Dalton
2476,Hold On,Alabama Shakes
2477,Anything Could Happen,Ellie Goulding
2478,Guap,Big Sean
2479,I Can Take It From There,Chris Young
2480,We Still In This B****,B.o.B Featuring T.I. & Juicy J
2481,Goodbye In Her Eyes,Zac Brown Band
2482,Like Jesus Does,Eric Church
2483,Karate Chop (Remix),Future Featuring Lil Wayne
2484,We Can't Stop,Miley Cyrus
2485,Holy Grail,Jay Z Featuring Justin Timberlake
2486,Applause,Lady Gaga
2487,Get Lucky,Daft Punk Featuring Pharrell Williams
2488,Treasure,Bruno Mars
2489,Clarity,Zedd Featuring Foxes
2490,Love Somebody,Maroon 5
2491,Same Love,Macklemore & Ryan Lewis Featuring Mary Lambert
2492,Summertime Sadness,Lana Del Rey & Cedric Gervais
2493,That's My Kind Of Night,Luke Bryan
2494,Cruise,Florida Georgia Line Featuring Nelly
2495,Best Song Ever,One Direction
2496,Crash My Party,Luke Bryan
2497,I Need Your Love,Calvin Harris Featuring Ellie Goulding
2498,The Other Side,Jason Derulo
2499,"Gone, Gone, Gone",Phillip Phillips
2500,The Way,Ariana Grande Featuring Mac Miller
2501,I Want Crazy,Hunter Hayes
2502,Come & Get It,Selena Gomez
2503,Don't Ya,Brett Eldredge
2504,Little Bit Of Everything,Keith Urban
2505,See You Again,Carrie Underwood
2506,Gas Pedal,Sage The Gemini Featuring IamSu!
2507,Round Here,Florida Georgia Line
2508,Runnin' Outta Moonlight,Randy Houser
2509,It Goes Like This,Thomas Rhett
2510,Body Party,Ciara
2511,Night Train,Jason Aldean
2512,Take Back The Night,Justin Timberlake
2513,Still Into You,Paramore
2514,Redneck Crazy,Tyler Farr
2515,Boys 'round Here,Blake Shelton Featuring Pistol Annies & Friends
2516,Crooked Smile,J. Cole Featuring TLC
2517,Don't Drop That Thun Thun!,The FiNATTiCZ
2518,U.O.E.N.O.,Rocko Featuring Future & Rick Ross
2519,All Over The Road,Easton Corbin
2520,Hey Girl,Billy Currington
2521,Everything Has Changed,Taylor Swift Featuring Ed Sheeran
2522,Tapout,"Rich Gang Featuring Lil Wayne, Birdman, Future, Mack Maine, Nicki Minaj"
2523,Beware,Big Sean Featuring Lil Wayne & Jhene Aiko
2524,True Love,P!nk Featuring Lily Allen
2525,Red Nose,Sage The Gemini
2526,Point At You,Justin Moore
2527,Type Of Way,Rich Homie Quan
2528,Southern Girl,Tim McGraw
2529,Mine Would Be You,Blake Shelton
2530,Beneath Your Beautiful,Labrinth Featuring Emeli Sande
2531,Parking Lot Party,Lee Brice
2532,HeadBand,B.o.B Featuring 2 Chainz
2533,Ain't Worried About Nothin,French Montana
2534,Feds Watching,2 Chainz Featuring Pharrell
2535,Aw Naw,Chris Young
2536,Turn The Night Up,Enrique Iglesias
2537,Love More,Chris Brown Featuring Nicki Minaj
2538,How Many Drinks?,Miguel
2539,Tom Ford,JAY-Z
2540,Miss Movin' On,Fifth Harmony
2541,No New Friends (SFTB Remix),"DJ Khaled Featuring Drake, Rick Ross & Lil Wayne"
2542,Acapella,Karmin
2543,Crazy Kids,Ke$ha Featuring will.i.am Or Juicy J
2544,Goodbye Town,Lady Antebellum
2545,Wop,J. Dash
2546,Easy,Sheryl Crow
2547,Red,Taylor Swift
2548,#Beautiful,Mariah Carey Featuring Miguel
2549,This Is Gospel,Panic! At The Disco
2550,Young And Beautiful,Lana Del Rey
2551,When I See This Bar,Kenny Chesney
2552,Right Now,Rihanna Featuring David Guetta
2553,F*ckwithmeyouknowigotit,Jay Z Featuring Rick Ross
2554,Beat It,Sean Kingston Featuring Chris Brown & Wiz Khalifa
2555,LoveHate Thing,Wale Featuring Sam Dew
2556,We Own The Night,The Wanted
2557,Your Side Of The Bed,Little Big Town
2558,Bruises,Train Featuring Ashley Monroe
2559,Wildfire,John Mayer
2560,Vivir Mi Vida,Marc Anthony
2561,Without Me,Fantasia Featuring Kelly Rowland & Missy Elliott
2562,Best Mistake,Ariana Grande Featuring Big Sean
2563,Lush Life,Zara Larsson
2564,Holy Key,"DJ Khaled Featuring Big Sean, Kendrick Lamar & Betty Wright"
2565,Brand New,Ben Rector
2566,Follow Your Arrow,Kacey Musgraves
2567,m.A.A.d City,Kendrick Lamar Featuring MC Eiht
2568,A Man Who Was Gonna Die Young,Eric Church
2569,Mmm Yeah,Austin Mahone Featuring Pitbull
2570,Don't Let Me Be Lonely,The Band Perry
2571,We Are Young,fun. Featuring Janelle Monae
2572,Stronger (What Doesn't Kill You),Kelly Clarkson
2573,Set Fire To The Rain,Adele
2574,Glad You Came,The Wanted
2575,Somebody That I Used To Know,Gotye Featuring Kimbra
2576,Turn Me On,David Guetta Featuring Nicki Minaj
2577,Take Care,Drake Featuring Rihanna
2578,"Young, Wild & Free",Snoop Dogg & Wiz Khalifa Featuring Bruno Mars
2579,Starships,Nicki Minaj
2580,Part Of Me,Katy Perry
2581,We Found Love,Rihanna Featuring Calvin Harris
2582,Wild Ones,Flo Rida Featuring Sia
2583,Good Feeling,Flo Rida
2584,International Love,Pitbull Featuring Chris Brown
2585,Rack City,Tyga
2586,Ass Back Home,Gym Class Heroes Featuring Neon Hitch
2587,Domino,Jessie J
2588,Sexy And I Know It,LMFAO
2589,The Motto,Drake Featuring Lil Wayne
2590,It Will Rain,Bruno Mars
2591,Drive By,Train
2592,Feel So Close,Calvin Harris
2593,Ni**as in Paris,Jay Z Kanye West
2594,Call Me Maybe,Carly Rae Jepsen
2595,Not Over You,Gavin DeGraw
2596,Party Rock Anthem,LMFAO Featuring Lauren Bennett & GoonRock
2597,Moves Like Jagger,Maroon 5 Featuring Christina Aguilera
2598,Turn Up The Music,Chris Brown
2599,Someone Like You,Adele
2600,Rolling In The Deep,Adele
2601,The One That Got Away,Katy Perry
2602,Paradise,Coldplay
2603,What Makes You Beautiful,One Direction
2604,A Thousand Years,Christina Perri
2605,Without You,David Guetta Featuring Usher
